id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
8569,Tikka masala karrypasta,5011308700917,Pataks,165 g,jar,true,glass,clear
8576,Classic Dressing,7622300869939,Kraft,"0,235 liter",bottle,true,glass,clear
8577,Piccalilly,5711111051229,Cervera,"0,32 kg",jar,true,glass,clear
8579,Sursød woksauce,8710605027136,Go-Tan,240 ml,bottle,true,glass,clear
8584,Hindbærmarmelade,5707446537019,Fynbo,400 g,jar,true,glass,clear
8585,Solbærmarmelade øko,5707446009028,Fynbo,340 g,jar,true,glass,clear
8586,Cremet hyben- og æblemarmelade,5701211009848,Den Gamle Fabrik,350 g,jar,true,glass,clear
8590,Sorte oliven u. sten,5701077490347,Paradiso,340 g,jar,true,glass,clear
8591,Ekstra jomfruolivenolie spray m. chili,5708229158827,Zelected,100 ml,bottle,true,glass,clear
8596,Sriracha tabascosauce,11210697003,Tabasco,300 g,bottle,true,plastic,clear
8597,Tofu m. peberfrugt øko,5711988005059,Oriental Chef,200 g,sleeve,true,plastic,clear
8598,Pickles u. tilsat sukker,5703161812363,Easis,190 g,jar,true,glass,clear
8599,Bone broth øko,5705518912061,Wooden Spoon,390 ml,jar,true,glass,clear
8600,Bearnaise mayonnaise,5708229700354,Zelected,180 g,jar,true,glass,clear
8605,Kapers,8428391501012,Bernal,130 g,jar,true,glass,clear
8607,Tomatsovs m. basilikum,8005110517006,Mutti,400 g,jar,true,glass,clear
8617,Salvie,7311311014567,Santa Maria,12 g,jar,true,glass,clear
8618,Ekstra stærk karry,7311311016097,Santa Maria,37 g,jar,true,glass,clear
8619,Stødt hvid peber,7311311015700,Santa Maria,35 g,cup-tub,true,glass,clear
8621,Fiskesauce,5712871930113,Squid,300 ml,bottle,true,glass,clear
8630,Hele sort peber,5710959092197,Karlsens,40 g,bag,true,plastic,clear
8631,Tomatpesto m. chili,5708229103643,Zelected,190 g,jar,true,glass,clear
8638,Smørepålæg m. tomat og urter vegansk øko,5765228391921,Urtekram,180 g,jar,true,glass,clear
8641,Fondant sort,5709521036257,Odense,150 g,bag,false,plastic,black
8647,Tomatketchup glutenfri øko,5765228398722,Urtekram,500 ml,bottle,true,plastic,clear
8648,Sesamdressing,8715035400306,Kikkoman,250 ml,bottle,true,glass,clear
8654,Cremet abrikos- og appelsinmarmelade,5701211008711,Den Gamle Fabrik,350 g,jar,true,glass,clear
8656,Honning cremet,5772739446965,Jakobsens,425 g,cup-tub,true,plastic,clear
8660,Avocado- og limedressing,8720182285553,Hellmann's,250 ml,bottle,true,plastic,clear
8665,Mayonnaise og ketchup blanding,5900783308148,Heinz,415 ml,bottle,true,plastic,clear
8670,Instant kaffe koffeinfri øko,5712873708604,Salling ØKO,100 g,jar,true,glass,clear
8673,Bone broth øko,5705518912016,Wooden Spoon,390 ml,jar,true,glass,clear
8680,Kokosolie koldpresset øko,5712873338481,Salling ØKO,1.000 ml,jar,true,glass,clear
8685,Pæremos øko,5712873035762,Urtekram,360 g,jar,true,glass,clear
8689,Kværn m. groft himalayasalt,5710959092951,La Cucina,300 g,bottle,true,glass,clear
8692,Mayonnaise øko,8711200445998,Hellmann's,270 g,jar,true,glass,clear
8695,Krymmel stjerner flere farver,5711243103520,Sweetkitchen,40 g,jar,true,glass,clear
8698,Tomatsuppe m. fløde,5701116016255,Svansø,500 ml,bottle,true,glass,clear
8699,Stødt ingefær,7311311015298,Santa Maria,31 g,jar,true,glass,clear
8700,Fint salt m. hvidløg,7311311017339,Santa Maria,148 g,jar,true,glass,clear
8702,Amerikanske pandekager glutenfri,5710761703007,Yummi Mummy,200 g,bottle,true,plastic,white
8703,Hindbærmarmelade,3388600000116,Dalfour,284 g,jar,true,glass,clear
8705,Frysetørrede jordbær,5760932014807,Svansø,15 g,jar,true,glass,clear
8706,Earl grey,5701182013349,Fredsted,200 g,bag,true,fibre-based,white
8710,Hindbærmarmelade øko,5701467025012,Frk. Anna,280 g,jar,true,glass,clear
8713,"Italiensk inspireret dressing m. peberfrugt, basilikum og hvidløg",5701018035446,Beauvais,285 g,bottle,true,glass,clear
8714,Æblecidereddike m. honning,8032754438497,De Nigris,500 ml,bottle,true,glass,clear
8715,Hele rosa peber,5710959092340,Karlsens,20 g,sleeve,true,plastic,clear
8718,Balsamicodressing,5701018035460,Beauvais,285 g,bottle,true,glass,clear
8719,Bønnepaté øko,5765228184110,Urtekram,180 g,jar,true,glass,clear
8722,Jordbærmarmelade m. champagne,637793001015,Mackays,340 g,jar,true,glass,clear
8723,Barbecuesauce m. honning,13409341155,Sweet Baby Rays,510 g,bottle,true,plastic,clear
8724,Pestodressing,5701018035408,Beauvais,285 g,bottle,true,glass,clear
8728,Original Instant Kaffe,7613032873059,Nescafé,200 g,jar,true,glass,clear
8729,Basis pastasauce,5712870838571,Princip,350 g,jar,true,glass,clear
8730,Tomatketchup,5060092690393,Stokes,580 g,bottle,true,glass,clear
8732,Passata m. basilikum,8005110630439,Mutti,400 g,bottle,true,glass,clear
8734,Hele grillede artiskokhjerter,5710405520892,Princip,280 g,jar,true,glass,clear
8735,Røde jalapeños stærke,7311310039028,Santa Maria,215 g,jar,true,glass,clear
8738,Sherryvineddike,5701012803553,Princip,250 ml,bottle,true,glass,black
8741,Ravigottesauce,5711111042128,Cervera,350 g,bottle,true,glass,clear
8752,Hønsefond øko,5745000405145,Reduced,200 ml,jar,true,glass,clear
8753,Krymmel dinosaur flere farver,5711243104879,Sweetkitchen,40 g,jar,true,glass,clear
8758,Pastasauce m. løg og gulerødder,5708229127151,Zelected,500 g,jar,true,glass,clear
8766,Mørk agavesirup øko,5712873820634,Salling ØKO,350 g,bottle,true,plastic,clear
8768,Mayonnaise vegansk,5701116016910,Svansø,210 g,bottle,true,plastic,clear
8770,Grønne oliven m. mandler øko,5710361102064,Foodmood,290 g,jar,true,glass,clear
8771,Timian øko,5710959093583,Karlsens,28 g,bag,true,plastic,clear
8777,Pastafarve skyblå,5711243103681,Sweetkitchen,25 g,jar,true,plastic,black
8778,Pastafarve mørkeblå,5711243103674,Sweetkitchen,25 g,jar,true,plastic,black
8779,Ekstra jomfruolivenolie øko,8435042812120,San Leandro,500 ml,bottle,true,glass,clear
8781,Bearnaisesauce øko,5701116016408,Svansø,250 g,jar,true,glass,clear
8784,Kakaopulver,5701058000176,Urtekram,80 g,jar,true,glass,clear
8786,Sojasauce,8850206011025,Healthy Boy,700 ml,bottle,true,glass,clear
8787,Lemon curd m. citronsaft og citronskal,5712871113172,Princip,310 g,jar,true,glass,clear
8789,Tacosauce stærk,8410076410122,Old El Paso,230 g,jar,true,glass,clear
8790,Oksefond,8714100735190,Knorr,150 ml,bottle,true,plastic,black
8794,Rapsolie m. hvidløg koldpresset,5712503103830,Princip,250 ml,bottle,true,glass,clear
8795,Hvidløgspeber,5710959092241,Karlsens,30 g,sleeve,true,plastic,clear
8800,Hot sauce stærk,7311310038809,Santa Maria,85 ml,bottle,true,glass,clear
8802,Figenmarmelade,5707446537781,Fynbo,400 g,jar,true,glass,clear
8803,Smørepålæg m. rødbede og peberrod vegansk øko,5765228391907,Urtekram,180 g,jar,true,glass,clear
8804,Risotto,5703043441773,Il Fornaio,"0,25 kg",bag,true,plastic,clear
8810,Spaghetti m. fuldkorn øko,5765228200179,Urtekram,400 g,bag,true,plastic,white
8813,Jalapeñorelish mild,7311310031268,Santa Maria,300 g,bottle,true,plastic,clear
8814,Mannagryn,5706779025934,Delicata,500 g,box,true,plastic,clear
8815,Skummetmælkspulver,5703161691012,Easis,200 g,bag,true,plastic,white
